file_size,file_size_kb,days_since_creation,days_since_modified,location_risk,is_pe_file,is_x86,is_x64,is_dll,is_executable,is_pe32,is_pe32plus,is_console,is_gui,optional_header_size,number_of_sections,section_with_code,section_with_data,section_with_resources,total_raw_size,total_virtual_size,size_ratio,suspicious_api_count,known_dll_count,has_process_injection,has_registry_manipulation,has_network_apis,has_cryptography,overall_entropy,header_entropy,middle_entropy,is_high_entropy,is_very_high_entropy,string_count,url_count,ip_address_count,path_count,is_packed,is_signed,is_recently_created,is_recently_modified,label
245760,240.0,3.0,1.0,0.7,1,1,0,0,1,1,0,0,1,224,4,1,2,1,204800,196608,1.04,8,4,1,1,1,0,7.2,5.8,6.9,1,1,523,5,2,3,1,0,1,1,1
524288,512.0,10.0,5.0,0.5,1,1,0,0,1,1,0,1,0,224,3,1,1,1,458752,425984,1.08,12,5,1,1,1,1,7.8,6.2,7.5,1,1,892,12,3,8,1,0,0,0,1
1048576,1024.0,180.0,90.0,0.2,1,0,1,0,1,0,1,0,1,240,5,1,2,1,950272,917504,1.04,3,8,0,0,1,0,5.2,4.1,5.0,0,0,1245,2,0,12,0,1,0,0,0
32768,32.0,1.0,1.0,0.8,1,1,0,0,1,1,0,1,0,224,2,1,1,0,28672,24576,1.17,15,2,1,1,1,0,8.1,7.2,7.9,1,1,156,8,1,2,1,0,1,1,1
2097152,2048.0,365.0,180.0,0.1,1,1,0,0,1,1,0,0,1,224,4,1,2,1,1945600,1835008,1.06,2,12,0,0,0,1,4.8,3.9,4.5,0,0,2456,1,0,18,0,1,0,0,0
61440,60.0,2.0,0.0,0.7,1,1,0,1,0,1,0,0,0,224,3,1,1,1,53248,49152,1.08,18,3,1,1,1,1,7.5,6.1,7.2,1,1,312,15,4,5,1,0,1,1,1
1572864,1536.0,45.0,30.0,0.3,1,0,1,0,1,0,1,1,0,240,4,1,2,1,1454080,1376256,1.06,5,9,0,1,1,0,5.8,4.5,5.6,0,0,1567,3,1,10,0,1,0,0,0
81920,80.0,5.0,3.0,0.6,1,1,0,0,1,1,0,1,0,224,3,1,1,1,73728,65536,1.13,9,4,1,1,1,0,6.9,5.5,6.7,1,0,445,7,2,4,0,0,1,1,1
3145728,3072.0,400.0,200.0,0.15,1,1,0,0,1,1,0,0,1,224,6,1,3,1,2949120,2752512,1.07,1,15,0,0,0,0,4.2,3.5,4.0,0,0,3456,0,0,22,0,1,0,0,0
131072,128.0,7.0,2.0,0.7,1,1,0,0,1,1,0,1,0,224,3,1,1,1,114688,102400,1.12,11,3,1,1,1,1,7.1,5.9,6.8,1,1,678,9,2,6,1,0,1,1,1

